id,category
0,news
1,politics
2,politics
3,hockey
4,worldnews
5,movies
6,movies
7,movies
8,news
9,movies
10,hockey
11,nba
12,movies
13,nfl
14,news
15,worldnews
16,worldnews
17,soccer
18,news
19,worldnews
20,nfl
21,worldnews
22,politics
23,soccer
24,nba
25,movies
26,hockey
27,nba
28,movies
29,nba
30,nba
31,movies
32,politics
33,hockey
34,hockey
35,news
36,worldnews
37,news
38,worldnews
39,politics
40,news
41,movies
42,soccer
43,soccer
44,politics
45,nba
46,hockey
47,nfl
48,politics
49,news
50,nfl
51,movies
52,soccer
53,nba
54,nfl
55,nfl
56,news
57,hockey
58,politics
59,hockey
60,news
61,nba
62,nfl
63,movies
64,movies
65,politics
66,nfl
67,nba
68,politics
69,politics
70,news
71,movies
72,movies
73,hockey
74,news
75,politics
76,nfl
77,politics
78,nfl
79,nba
80,hockey
81,news
82,movies
83,nba
84,news
85,news
86,worldnews
87,worldnews
88,nba
89,news
90,nfl
91,hockey
92,nba
93,politics
94,politics
95,movies
96,soccer
97,nba
98,worldnews
99,hockey
100,nfl
101,hockey
102,news
103,politics
104,soccer
105,nfl
106,soccer
107,nfl
108,movies
109,movies
110,hockey
111,hockey
112,hockey
113,politics
114,worldnews
115,movies
116,nba
117,hockey
118,nba
119,worldnews
120,soccer
121,movies
122,soccer
123,nba
124,nfl
125,nfl
126,politics
127,movies
128,nfl
129,nba
130,soccer
131,hockey
132,politics
133,worldnews
134,nfl
135,news
136,hockey
137,hockey
138,soccer
139,soccer
140,movies
141,hockey
142,politics
143,worldnews
144,news
145,politics
146,politics
147,nba
148,movies
149,politics
150,news
151,soccer
152,nba
153,soccer
154,politics
155,hockey
156,politics
157,soccer
158,worldnews
159,movies
160,news
161,worldnews
162,hockey
163,nfl
164,worldnews
165,movies
166,worldnews
167,politics
168,movies
169,hockey
170,hockey
171,nfl
172,politics
173,nba
174,hockey
175,nfl
176,movies
177,soccer
178,worldnews
179,worldnews
180,news
181,nfl
182,worldnews
183,worldnews
184,nfl
185,hockey
186,politics
187,movies
188,soccer
189,soccer
190,soccer
191,nfl
192,hockey
193,news
194,movies
195,soccer
196,movies
197,politics
198,nfl
199,politics
200,movies
201,politics
202,soccer
203,nba
204,hockey
205,movies
206,hockey
207,news
208,politics
209,movies
210,politics
211,worldnews
212,soccer
213,nba
214,movies
215,worldnews
216,nfl
217,nfl
218,soccer
219,movies
220,worldnews
221,soccer
222,nba
223,worldnews
224,nba
225,worldnews
226,hockey
227,worldnews
228,hockey
229,soccer
230,hockey
231,news
